question_id,question,expected_tool,expected_topic_filter,predicted_tool,predicted_topic_filter,tool_correct,topic_correct,full_tool_call_correct,agent_thought
Q01,What is the purpose of feature scaling in scikit-learn?,metadata_filtered_retriever,preprocessing,metadata_filtered_retriever,preprocessing,True,True,True,"The question is about preprocessing or scaling, so the preprocessing topic should be used."
Q02,How does StandardScaler transform numerical features?,metadata_filtered_retriever,preprocessing,metadata_filtered_retriever,preprocessing,True,True,True,"The question is about preprocessing or scaling, so the preprocessing topic should be used."
Q03,Why can feature scaling improve the performance of some machine learning algorithms?,metadata_filtered_retriever,preprocessing,metadata_filtered_retriever,preprocessing,True,True,True,"The question is about preprocessing or scaling, so the preprocessing topic should be used."
Q04,When should preprocessing be fitted only on the training data?,metadata_filtered_retriever,preprocessing,metadata_filtered_retriever,preprocessing,True,True,True,"The question is about preprocessing or scaling, so the preprocessing topic should be used."
Q05,What is the role of transformers in a scikit-learn workflow?,rag_retriever,,rag_retriever,,True,True,True,"No specific topic filter was clearly required, so full-corpus retrieval is used."
Q06,How can I create a Pipeline with StandardScaler and LogisticRegression?,metadata_filtered_retriever,preprocessing,metadata_filtered_retriever,preprocessing,True,True,True,"The question is about preprocessing or scaling, so the preprocessing topic should be used."
Q07,Why are pipelines useful in machine learning workflows?,metadata_filtered_retriever,pipelines,metadata_filtered_retriever,pipelines,True,True,True,"The question is about pipelines, so the pipelines topic should be used."
Q08,How do pipelines help reduce the risk of data leakage?,metadata_filtered_retriever,pipelines,metadata_filtered_retriever,pipelines,True,True,True,"The question is about pipelines, so the pipelines topic should be used."
Q09,Can pipeline parameters be tuned using grid search?,metadata_filtered_retriever,pipelines,metadata_filtered_retriever,pipelines,True,True,True,"The question is about pipelines, so the pipelines topic should be used."
Q10,How does train_test_split divide data into training and testing sets?,rag_retriever,,rag_retriever,,True,True,True,"No specific topic filter was clearly required, so full-corpus retrieval is used."
Q11,Why is it useful to keep a separate test set?,rag_retriever,,rag_retriever,,True,True,True,"No specific topic filter was clearly required, so full-corpus retrieval is used."
Q12,What is cross-validation used for in model evaluation?,metadata_filtered_retriever,cross_validation,metadata_filtered_retriever,cross_validation,True,True,True,"The question is about cross-validation, so the cross_validation topic should be used."
Q13,How does k-fold cross-validation evaluate an estimator?,metadata_filtered_retriever,cross_validation,metadata_filtered_retriever,cross_validation,True,True,True,"The question is about cross-validation, so the cross_validation topic should be used."
Q14,When is cross-validation preferable to a single train/test split?,metadata_filtered_retriever,cross_validation,metadata_filtered_retriever,cross_validation,True,True,True,"The question is about cross-validation, so the cross_validation topic should be used."
Q15,What is GridSearchCV used for?,metadata_filtered_retriever,hyperparameter_tuning,metadata_filtered_retriever,hyperparameter_tuning,True,True,True,"The question is about hyperparameter tuning, so the hyperparameter_tuning topic should be used."
Q16,How can GridSearchCV help tune hyperparameters?,metadata_filtered_retriever,hyperparameter_tuning,metadata_filtered_retriever,hyperparameter_tuning,True,True,True,"The question is about hyperparameter tuning, so the hyperparameter_tuning topic should be used."
Q17,What is the difference between GridSearchCV and RandomizedSearchCV?,metadata_filtered_retriever,hyperparameter_tuning,metadata_filtered_retriever,hyperparameter_tuning,True,True,True,"The question is about hyperparameter tuning, so the hyperparameter_tuning topic should be used."
Q18,Why should hyperparameter tuning be combined with cross-validation?,metadata_filtered_retriever,hyperparameter_tuning,metadata_filtered_retriever,hyperparameter_tuning,True,True,True,"The question is about hyperparameter tuning, so the hyperparameter_tuning topic should be used."
Q19,"What is the difference between accuracy, precision, recall and F1-score?",metadata_filtered_retriever,metrics,metadata_filtered_retriever,metrics,True,True,True,"The question is about evaluation metrics, so the metrics topic should be used."
Q20,When is F1-score more useful than accuracy?,metadata_filtered_retriever,metrics,metadata_filtered_retriever,metrics,True,True,True,"The question is about evaluation metrics, so the metrics topic should be used."
Q21,Why can accuracy be misleading for imbalanced classification problems?,metadata_filtered_retriever,metrics,metadata_filtered_retriever,metrics,True,True,True,"The question is about evaluation metrics, so the metrics topic should be used."
Q22,How can I evaluate a binary classifier using precision and recall?,metadata_filtered_retriever,metrics,metadata_filtered_retriever,metrics,True,True,True,"The question is about evaluation metrics, so the metrics topic should be used."
Q23,What does LogisticRegression do in scikit-learn?,rag_retriever,,rag_retriever,,True,True,True,"No specific topic filter was clearly required, so full-corpus retrieval is used."
Q24,Which parameters of LogisticRegression are commonly used to control regularization?,metadata_filtered_retriever,logistic_regression,metadata_filtered_retriever,logistic_regression,True,True,True,"The question asks about LogisticRegression parameters, so the API-specific topic should be used."
Q25,Why might LogisticRegression require feature scaling?,metadata_filtered_retriever,preprocessing,metadata_filtered_retriever,preprocessing,True,True,True,"The question is about preprocessing or scaling, so the preprocessing topic should be used."
Q26,What is a RandomForestClassifier in scikit-learn?,rag_retriever,,rag_retriever,,True,True,True,"No specific topic filter was clearly required, so full-corpus retrieval is used."
Q27,How does a random forest combine multiple decision trees?,rag_retriever,,rag_retriever,,True,True,True,"No specific topic filter was clearly required, so full-corpus retrieval is used."
Q28,Which RandomForestClassifier parameters can control model complexity?,metadata_filtered_retriever,random_forest_classifier,metadata_filtered_retriever,random_forest_classifier,True,True,True,"The question asks about RandomForestClassifier parameters, so the API-specific topic should be used."
Q29,When might RandomForestClassifier be preferred over LogisticRegression?,rag_retriever,,rag_retriever,,True,True,True,"No specific topic filter was clearly required, so full-corpus retrieval is used."
Q30,"How can a complete classification workflow combine preprocessing, model training, cross-validation and evaluation?",rag_retriever,,rag_retriever,,True,True,True,"The question combines multiple workflow stages, so full-corpus retrieval is more appropriate."
